ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Gleis Gerade,-
Tobbert.TrackStraight.Description,"Ein gerades Zuggleis. Kann in ein Einbahngleis umgewandelt werden, indem man auf das Feld klickt. Erzeugt einen Gleisabschnitt zwischen Einbahngleisen, auf dem ein einzelner Zug fahren kann (durch Farben gekennzeichnet).",-
Tobbert.TrackStraight.FlavorDescription,Tschu-tschu!,-

Tobbert.TrackOneWay.DisplayName,Einbahngleis,-
Tobbert.TrackOneWay.Description,"Sagt den Zügen, dass sie nur auf der grünen Seite durchfahren können. Erzeugt einen Gleisabschnitt zwischen Einbahngleisen, auf dem ein einzelner Zug fahren kann (durch Farben gekennzeichnet). Kann in ein Gleis Gerade umgewandelt werden, indem man auf das Feld klickt.",-
Tobbert.TrackOneWay.FlavorDescription,Du... Sollst... Passieren...,-

Tobbert.TrackCrossing.DisplayName,Gleisübergang,-
Tobbert.TrackCrossing.Description,"Biber können hier die Gleise überqueren. Kollisionen werden nicht implementiert, da die Leistung zu sehr leiden würde.",-
Tobbert.TrackCrossing.FlavorDescription,Dieser Zug nähert sich sehr schn-,RIP

Tobbert.TrackHillStart.DisplayName,Gleis Steigung,-
Tobbert.TrackHillStart.Description,"Ein Gleis, auf dem Züge auf und ab fahren.",-
Tobbert.TrackHillStart.FlavorDescription,Ist der Zug nicht zu schwer?,-

Tobbert.TrackCorner1x1.DisplayName,Gleis Kurve 1x1,-
Tobbert.TrackCorner1x1.Description,"Ein Gleisstück, das um eine Ecke führt.",-
Tobbert.TrackCorner1x1.FlavorDescription,Könnte ein bisschen eng sein.,-

Tobbert.TrackCorner2x2.DisplayName,Gleis Kurve 2x2,-
Tobbert.TrackCorner2x2.Description,"Ein Gleisstück, das um eine größere Ecke führt.",-
Tobbert.TrackCorner2x2.FlavorDescription,Was für eine schön anzusehende Kurve.,-

Tobbert.TrackTIntersection1x1.DisplayName,Gleis T-Kreuzung 1x1,-
Tobbert.TrackTIntersection1x1.Description,Eine Kreuzung in Form eines T für Züge.,-
Tobbert.TrackTIntersection1x1.FlavorDescription,Welchen Weg soll ich einschlagen?,-

Tobbert.TrackTIntersection2x3.DisplayName,Gleis T-Kreuzung 2x3,-
Tobbert.TrackTIntersection2x3.Description,Eine Kreuzung in Form eines T für Züge.,-
Tobbert.TrackTIntersection2x3.FlavorDescription,Wohin werden diese Wege führen?,-

