ID,Text,Comment
Tobbert.TrackStraight.DisplayName,Straight Train Track,-
Tobbert.TrackStraight.Description,A Track Piece that goes straight.,-
Tobbert.TrackStraight.FlavorDescription,Choo! Choo!,-

Tobbert.TrackCorner1x1.DisplayName,Corner 1x1 Train Track,-
Tobbert.TrackCorner1x1.Description,A Track Piece that around a corner.,-
Tobbert.TrackCorner1x1.FlavorDescription,Might be a little tight.,-

Tobbert.TrackCorner2x2.DisplayName,Corner 2x2 Train Track,-
Tobbert.TrackCorner2x2.Description,A Track Piece that around a larger corner.,-
Tobbert.TrackCorner2x2.FlavorDescription,Might be a little tight.,-

Tobbert.TrackTIntersection.DisplayName,T intersection Train Track,-
Tobbert.TrackTIntersection.Description,A intersection in the form of a T for trains.,-
Tobbert.TrackTIntersection.FlavorDescription,Choo! Choo!,-

Tobbert.TrainStation.DisplayName,Train Station,-
Tobbert.TrainStation.Description,A destination for trains.,-
Tobbert.TrainStation.FlavorDescription,Choo! Choo!,-

Tobbert.TrainYard.DisplayName,Train Yard,-
Tobbert.TrainYard.Description,A place where trains are born.,-
Tobbert.TrainYard.FlavorDescription,Choo! Choo!,-

Tobbert.Train.Name,Train,-

Tobbert.BatchControl.Trains,Trains,-
Tobbert.Train.Length,Train Length: ,-

Tobbert.TrainSchedule.AddNewStation,New Station,-
Tobbert.TrainSchedule.AddNewTrainAction,New Action,-

Tobbert.TrainAction.Wait,Wait,-
Tobbert.TrainAction.Wait.WaitingInMinutes,Hours to wait: ,-

Tobbert.TrainAction.TakeGoods,Take Goods,-
Tobbert.TrainAction.TakeGoods.TakeGoodAmount,Take goods: ,-

Tobbert.GoodsStation.Loading,Load: ,-
Tobbert.GoodsStation.Unloading,Unload: ,-

Tobbert.ToolGroup.Trains,Trains,-
